gene_ID,pmid,host_db,has_summary,has_PD
Tb927.1.2600,19714224,TriTrypDB,,
Tb927.1.2670,16607017,TriTrypDB,,
Tb927.1.2670,16882690,TriTrypDB,,
Tb927.1.2710,27863903,TriTrypDB,,
Tb927.1.2990,21474072,TriTrypDB,,
Tb927.1.2990,31515389,TriTrypDB,,
Tb927.1.3010,37410820,TriTrypDB,,
Tb927.1.3010,18073385,TriTrypDB,,
Tb927.1.3010,25225332,TriTrypDB,,
Tb927.1.3130,19346560,TriTrypDB,,
Tb927.1.3400,34407985,TriTrypDB,,
Tb927.1.3560,28049148,TriTrypDB,,
Tb927.1.3560,17227795,TriTrypDB,,
Tb927.1.3800,23221899,TriTrypDB,,
Tb927.1.3830,2792108,TriTrypDB,,
Tb927.1.3910,23533609,TriTrypDB,,
Tb927.1.3950,19443056,TriTrypDB,,
Tb927.1.4100,12467979,TriTrypDB,,
Tb927.1.4140,26721397,TriTrypDB,,
Tb927.1.4250,36169304,TriTrypDB,,
Tb927.1.4310,25972344,TriTrypDB,,
Tb927.1.4410,29474435,TriTrypDB,,
Tb927.1.4490,34407985,TriTrypDB,,
Tb927.1.4540,17920137,TriTrypDB,,
Tb927.1.4560,17920137,TriTrypDB,,
Tb927.1.4580,17920137,TriTrypDB,,
Tb927.1.4600,17920137,TriTrypDB,,
Tb927.1.4630,17920137,TriTrypDB,,
Tb927.1.4650,17920137,TriTrypDB,,
Tb927.1.4680,28034897,TriTrypDB,,
Tb927.1.4690,27998975,TriTrypDB,,
Tb927.1.4720,34407985,TriTrypDB,,
Tb927.1.4830,20382188,TriTrypDB,,
Tb927.1.5030,27863903,TriTrypDB,,
Tb927.1.570,16916638,TriTrypDB,,
Tb927.1.630,17940067,TriTrypDB,,
Tb927.1.630,24322299,TriTrypDB,,
Tb927.1.640,18430140,TriTrypDB,,
Tb927.1.700,3004970,TriTrypDB,,
Tb927.1.710,3004970,TriTrypDB,,
Tb927.1.720,3004970,TriTrypDB,,
Tb927.1.730,21610103,TriTrypDB,,
Tb927.1.860,35500022,TriTrypDB,,
Tb927.1.870,23525104,TriTrypDB,,
Tb927.10.10020,29603841,TriTrypDB,,
Tb927.10.10090,17227795,TriTrypDB,,
Tb927.10.10130,26572691,TriTrypDB,,
Tb927.10.10130,37410820,TriTrypDB,,
Tb927.10.10140,19074134,TriTrypDB,,
Tb927.10.10160,30635574,TriTrypDB,,
Tb927.10.10170,20592024,TriTrypDB,,
Tb927.10.10280,7986649,TriTrypDB,,
Tb927.10.10280,28049148,TriTrypDB,,
Tb927.10.10330,23533609,TriTrypDB,,
Tb927.10.10350,24453978,TriTrypDB,,
Tb927.10.10360,3393912,TriTrypDB,,
Tb927.10.10370,37633952,TriTrypDB,,
Tb927.10.10400,18364347,TriTrypDB,,
Tb927.10.10440,19463859,TriTrypDB,,
Tb927.10.10650,25040552,TriTrypDB,,
Tb927.10.10700,16219373,TriTrypDB,,
Tb927.10.10730,22654659,TriTrypDB,,
Tb927.10.10830,18583347,TriTrypDB,,
Tb927.10.10830,37410820,TriTrypDB,,
Tb927.10.10830,20855539,TriTrypDB,,
Tb927.10.10840,25931509,TriTrypDB,,
Tb927.10.10850,14673174,TriTrypDB,,
Tb927.10.10850,16611939,TriTrypDB,,
Tb927.10.10870,24453978,TriTrypDB,,
Tb927.10.10870,28039027,TriTrypDB,,
Tb927.10.11020,14651619,TriTrypDB,,
Tb927.10.11030,25808593,TriTrypDB,,
Tb927.10.11030,23221899,TriTrypDB,,
Tb927.10.11050,18364347,TriTrypDB,,
Tb927.10.11130,34407985,TriTrypDB,,
Tb927.10.11160,27181928,TriTrypDB,,
Tb927.10.11260,18364347,TriTrypDB,,
Tb927.10.11270,16339728,TriTrypDB,,
Tb927.10.11300,19074134,TriTrypDB,,
Tb927.10.11310,18094047,TriTrypDB,,
Tb927.10.11350,18364347,TriTrypDB,,
Tb927.10.11360,27863903,TriTrypDB,,
Tb927.10.11440,12665514,TriTrypDB,,
Tb927.10.11520,27991487,TriTrypDB,,
Tb927.10.1160,21610103,TriTrypDB,,
Tb927.10.11680,25931509,TriTrypDB,,
Tb927.10.11680,29244877,TriTrypDB,,
Tb927.10.1170,18094047,TriTrypDB,,
Tb927.10.11720,34407985,TriTrypDB,,
Tb927.10.11820,31515389,TriTrypDB,,
Tb927.10.11820,18364347,TriTrypDB,,
Tb927.10.11820,21474072,TriTrypDB,,
Tb927.10.11870,37410820,TriTrypDB,,
Tb927.10.11870,36862634,TriTrypDB,,
Tb927.10.11870,26572691,TriTrypDB,,
Tb927.10.11900,30415698,TriTrypDB,,
Tb927.10.11960,32084124,TriTrypDB,,
Tb927.10.11970,19443056,TriTrypDB,,
Tb927.10.11980,17026746,TriTrypDB,,
Tb927.10.12050,18364347,TriTrypDB,,
Tb927.10.12090,16339728,TriTrypDB,,
Tb927.10.12100,16339728,TriTrypDB,,
Tb927.10.1230,25931509,TriTrypDB,,
Tb927.10.12300,31536395,TriTrypDB,,
Tb927.10.12390,37475965,TriTrypDB,,
Tb927.10.12470,27863903,TriTrypDB,,
Tb927.10.12540,21610103,TriTrypDB,,
Tb927.10.12600,24186950,TriTrypDB,,
Tb927.10.12630,27863903,TriTrypDB,,
Tb927.10.12720,31217284,TriTrypDB,,
Tb927.10.12740,20444260,TriTrypDB,,
Tb927.10.12810,20382188,TriTrypDB,,
Tb927.10.12830,34407985,TriTrypDB,,
Tb927.10.12840,19463859,TriTrypDB,,
Tb927.10.12850,15923618,TriTrypDB,,
Tb927.10.12870,28049148,TriTrypDB,,
Tb927.10.12880,34407985,TriTrypDB,,
Tb927.10.12920,27226595,TriTrypDB,,
Tb927.10.12950,28049148,TriTrypDB,,
Tb927.10.12960,9822686,TriTrypDB,,
Tb927.10.13000,19733234,TriTrypDB,,
Tb927.10.13010,24453978,TriTrypDB,,
Tb927.10.13040,24879126,TriTrypDB,,
Tb927.10.13100,29764941,TriTrypDB,,
Tb927.10.13120,19463859,TriTrypDB,,
Tb927.10.13130,20724435,TriTrypDB,,
Tb927.10.13170,32679035,TriTrypDB,,
Tb927.10.13200,21474072,TriTrypDB,,
Tb927.10.13210,20382188,TriTrypDB,,
Tb927.10.13290,20382188,TriTrypDB,,
Tb927.10.13300,18364347,TriTrypDB,,
Tb927.10.13310,16730080,TriTrypDB,,
Tb927.10.13330,19074134,TriTrypDB,,
Tb927.10.13360,24033548,TriTrypDB,,
Tb927.10.13380,22412905,TriTrypDB,,
Tb927.10.13480,24453978,TriTrypDB,,
Tb927.10.13490,24453978,TriTrypDB,,
Tb927.10.13540,16339728,TriTrypDB,,
Tb927.10.13570,16339728,TriTrypDB,,
Tb927.10.13600,31536395,TriTrypDB,,
Tb927.10.13620,21610103,TriTrypDB,,
Tb927.10.13670,11290414,TriTrypDB,,
Tb927.10.13720,16339728,TriTrypDB,,
Tb927.10.13740,33997700,TriTrypDB,,
Tb927.10.13740,27863903,TriTrypDB,,
Tb927.10.13780,30910902,TriTrypDB,,
Tb927.10.13780,23437089,TriTrypDB,,
Tb927.10.1380,24453978,TriTrypDB,,
Tb927.10.13820,18364347,TriTrypDB,,
Tb927.10.13830,32105215,TriTrypDB,,
Tb927.10.13860,20382188,TriTrypDB,,
Tb927.10.1390,29474435,TriTrypDB,,
Tb927.10.13900,23443657,TriTrypDB,,
Tb927.10.13930,25931509,TriTrypDB,,
Tb927.10.13960,16607017,TriTrypDB,,
Tb927.10.13960,16882690,TriTrypDB,,
Tb927.10.13990,17646387,TriTrypDB,,
Tb927.10.14000,10644738,TriTrypDB,,
Tb927.10.14010,17645436,TriTrypDB,,
Tb927.10.14010,24257747,TriTrypDB,,
Tb927.10.14110,28049148,TriTrypDB,,
Tb927.10.14140,1879424,TriTrypDB,,
Tb927.10.14150,32095321,TriTrypDB,,
Tb927.10.14160,15294911,TriTrypDB,,
Tb927.10.14170,15294911,TriTrypDB,,
Tb927.10.14180,19525551,TriTrypDB,,
Tb927.10.14210,19386623,TriTrypDB,,
Tb927.10.14240,20360736,TriTrypDB,,
Tb927.10.14280,19463859,TriTrypDB,,
Tb927.10.14320,25736289,TriTrypDB,,
Tb927.10.14360,1833773,TriTrypDB,,
Tb927.10.14390,25266856,TriTrypDB,,
Tb927.10.14420,24453978,TriTrypDB,,
Tb927.10.14440,19208769,TriTrypDB,,
Tb927.10.14470,18094047,TriTrypDB,,
Tb927.10.1450,32675283,TriTrypDB,,
Tb927.10.14520,28049148,TriTrypDB,,
Tb927.10.14530,12213827,TriTrypDB,,
Tb927.10.14550,22366449,TriTrypDB,,
Tb927.10.1460,19346560,TriTrypDB,,
Tb927.10.14720,19185591,TriTrypDB,,
Tb927.10.14750,35013170,TriTrypDB,,
Tb927.10.14770,25681612,TriTrypDB,,
Tb927.10.14780,23437089,TriTrypDB,,
Tb927.10.14800,24453978,TriTrypDB,,
Tb927.10.14820,19463859,TriTrypDB,,
Tb927.10.14820,23074217,TriTrypDB,,
Tb927.10.14830,23074217,TriTrypDB,,
Tb927.10.14840,23074217,TriTrypDB,,
Tb927.10.14860,21610103,TriTrypDB,,
Tb927.10.14880,17227795,TriTrypDB,,
Tb927.10.1490,32532821,TriTrypDB,,
Tb927.10.14930,20444260,TriTrypDB,,
Tb927.10.14950,20444260,TriTrypDB,,
Tb927.10.14980,18094047,TriTrypDB,,
Tb927.10.14990,18094047,TriTrypDB,,
Tb927.10.15020,24453978,TriTrypDB,,
Tb927.10.15020,19346560,TriTrypDB,,
Tb927.10.15080,28052114,TriTrypDB,,
Tb927.10.1510,18442996,TriTrypDB,,
Tb927.10.15190,28049148,TriTrypDB,,
Tb927.10.15210,15743819,TriTrypDB,,
Tb927.10.15250,19074134,TriTrypDB,,
Tb927.10.15300,24453978,TriTrypDB,,
Tb927.10.15350,15522895,TriTrypDB,,
Tb927.10.15350,19369410,TriTrypDB,,
Tb927.10.15390,25736289,TriTrypDB,,
Tb927.10.15410,16321390,TriTrypDB,,
Tb927.10.15490,17640865,TriTrypDB,,
Tb927.10.15570,16055738,TriTrypDB,,
Tb927.10.1560,29931198,TriTrypDB,,
Tb927.10.15650,31515389,TriTrypDB,,
Tb927.10.1570,23326569,TriTrypDB,,
Tb927.10.15710,19463859,TriTrypDB,,
Tb927.10.15750,23235159,TriTrypDB,,
Tb927.10.15760,35447115,TriTrypDB,,
Tb927.10.15790,31751595,TriTrypDB,,
Tb927.10.1580,30415698,TriTrypDB,,
Tb927.10.15830,29474435,TriTrypDB,,
Tb927.10.15850,16388862,TriTrypDB,,
Tb927.10.15850,17188680,TriTrypDB,,
Tb927.10.15860,32679035,TriTrypDB,,
Tb927.10.15880,24453978,TriTrypDB,,
Tb927.10.15910,18036137,TriTrypDB,,
Tb927.10.15950,16753168,TriTrypDB,,
Tb927.10.15950,15485927,TriTrypDB,,
Tb927.10.160,17543398,TriTrypDB,,
Tb927.10.16030,20178803,TriTrypDB,,
Tb927.10.16030,24453978,TriTrypDB,,
Tb927.10.16070,21111007,TriTrypDB,,
Tb927.10.16090,35042777,TriTrypDB,,
Tb927.10.16110,17227795,TriTrypDB,,
Tb927.10.16160,19346560,TriTrypDB,,
Tb927.10.16170,31515389,TriTrypDB,,
Tb927.10.16190,24879126,TriTrypDB,,
Tb927.10.1630,14668021,TriTrypDB,,
Tb927.10.1680,20624216,TriTrypDB,,
Tb927.10.1690,25040552,TriTrypDB,,
Tb927.10.170,16107339,TriTrypDB,,
Tb927.10.1720,34526538,TriTrypDB,,
Tb927.10.1730,37410820,TriTrypDB,,
Tb927.10.1730,25225332,TriTrypDB,,
Tb927.10.1740,37475965,TriTrypDB,,
