pmid,gene_ID,host_db
22670848,PKNH_0210300,PlasmoDB
22670848,PRCDC_0101100,PlasmoDB
22670848,PY17X_0211300,PlasmoDB
22701726,NCU03770,FungiDB
22719877,CNAG_01614,FungiDB
22731401,CNF03700,FungiDB
22731401,CNAG_06646,FungiDB
22737071,CNAG_00795,FungiDB
22761677,PF3D7_MIT00200,PlasmoDB
22761677,PF3D7_MIT00300,PlasmoDB
22761677,PF3D7_MIT00500,PlasmoDB
22761677,PF3D7_MIT00600,PlasmoDB
22761677,PF3D7_MIT00700,PlasmoDB
22761677,PF3D7_MIT00800,PlasmoDB
22761677,PF3D7_MIT00900,PlasmoDB
22761677,PF3D7_MIT01000,PlasmoDB
22761677,PF3D7_MIT01100,PlasmoDB
22761677,PF3D7_MIT01200,PlasmoDB
22761677,PF3D7_MIT01300,PlasmoDB
22761677,PF3D7_MIT01800,PlasmoDB
22761677,PF3D7_MIT02000,PlasmoDB
22761677,PF3D7_MIT02400,PlasmoDB
22761677,PF3D7_MIT03100,PlasmoDB
22761677,PF3D7_MIT03600,PlasmoDB
22761677,PF3D7_MIT04000,PlasmoDB
22761677,PBANKA_MIT00900,PlasmoDB
22848665,PCHAS_1003500,PlasmoDB
22848665,PF3D7_0404900,PlasmoDB
22848665,PBANKA_1002600,PlasmoDB
22848665,PGAL8A_00055600,PlasmoDB
22848665,PocGH01_03012400,PlasmoDB
22848665,PRCDC_0402500,PlasmoDB
22848665,PmUG01_03015000,PlasmoDB
22848665,PRELSG_0302200,PlasmoDB
22848665,PY17X_1004000,PlasmoDB
22860032,TGME49_272900,ToxoDB
22879952,NCU00881,FungiDB
22879952,NCU06910,FungiDB
22879952,NCU06981,FungiDB
22900071,PCHAS_0416600,PlasmoDB
22900071,PCHAS_0922200,PlasmoDB
22900071,PCHAS_1026200,PlasmoDB
22900071,PCHAS_1337800,PlasmoDB
22900071,PF3D7_0905700,PlasmoDB
22900071,PF3D7_1019900,PlasmoDB
22900071,PF3D7_1126100,PlasmoDB
22900071,PF3D7_1417300,PlasmoDB
22900071,PF3D7_1470000,PlasmoDB
22900071,PBANKA_0415700,PlasmoDB
22900071,PBANKA_0922200,PlasmoDB
22900071,PBANKA_1025400,PlasmoDB
22900071,PBANKA_1333200,PlasmoDB
22900071,PKNH_0604100,PlasmoDB
22900071,PKNH_0703400,PlasmoDB
22900071,PKNH_0924000,PlasmoDB
22900071,PRCDC_1124600,PlasmoDB
22900071,PRELSG_0603500,PlasmoDB
22900071,PRELSG_1333800,PlasmoDB
22900071,PVP01_0605100,PlasmoDB
22900071,PVP01_0926800,PlasmoDB
22900071,PVP01_1331600,PlasmoDB
22900071,PY17X_1027800,PlasmoDB
22900071,PGAL8A_00288900,PlasmoDB
22900071,PGAL8A_00479100,PlasmoDB
22900071,PKNH_1340700,PlasmoDB
22900071,PmUG01_09035400,PlasmoDB
22900071,PmUG01_06011300,PlasmoDB
22900071,PocGH01_06013000,PlasmoDB
22900071,PRCDC_1469200,PlasmoDB
22900071,PocGH01_09032400,PlasmoDB
22900071,PKNH_1211000,PlasmoDB
22900071,PRCDC_0903800,PlasmoDB
22900071,PRCDC_1019300,PlasmoDB
22900071,PRCDC_1416600,PlasmoDB
22912579,PF3D7_0309600,PlasmoDB
22912882,PCHAS_1021700,PlasmoDB
22912882,PF3D7_1203900,PlasmoDB
22912882,PF3D7_1225800,PlasmoDB
22912882,PF3D7_1422500,PlasmoDB
22912882,PBANKA_0602800,PlasmoDB
22912882,PKNH_1335500,PlasmoDB
22912882,PRCDC_1421800,PlasmoDB
22916306,CNAG_05392,FungiDB
22957089,PCHAS_1334100,PlasmoDB
22957089,PBANKA_1329500,PlasmoDB
22957089,PKNH_1215400,PlasmoDB
22957089,PRCDC_1465300,PlasmoDB
22970262,PF3D7_0201800,PlasmoDB
22970262,PRCDC_0200900,PlasmoDB
22984267,PF3D7_0207500,PlasmoDB
23027733,TGME49_202390,ToxoDB
23027733,TGME49_216650,ToxoDB
23027733,TGME49_310030,ToxoDB
23027733,TGME49_313380,ToxoDB
23049965,PF3D7_0613300,PlasmoDB
23055925,CNAG_05794,FungiDB
23056243,PCHAS_0102900,PlasmoDB
23056243,PF3D7_0603400,PlasmoDB
23056243,PBANKA_0102200,PlasmoDB
23056243,PKNH_1147300,PlasmoDB
23056243,PGAL8A_00131900,PlasmoDB
23056243,PocGH01_11053200,PlasmoDB
23056243,PRCDC_0602000,PlasmoDB
23056243,PmUG01_11059400,PlasmoDB
23056243,PRELSG_1144900,PlasmoDB
23056243,PVP01_1145500,PlasmoDB
23056243,PY17X_0103800,PlasmoDB
23056326,PCHAS_1409200,PlasmoDB
23056326,PF3D7_1308800,PlasmoDB
23056326,PBANKA_1407300,PlasmoDB
23056326,PKNH_1409200,PlasmoDB
23056326,PGAL8A_00504900,PlasmoDB
23056326,PRCDC_1307800,PlasmoDB
23056326,PRELSG_1406600,PlasmoDB
23056326,PVP01_1409800,PlasmoDB
23056326,PY17X_1409000,PlasmoDB
23093935,PF3D7_0935400,PlasmoDB
23093935,PKNH_0734100,PlasmoDB
23093935,PGAL8A_00448600,PlasmoDB
23093935,PocGH01_07043100,PlasmoDB
23093935,PRCDC_0933400,PlasmoDB
23093935,PmUG01_07047200,PlasmoDB
23093935,PRELSG_0733400,PlasmoDB
23093935,PVP01_0734100,PlasmoDB
23106124,AN5525,FungiDB
23137753,PBANKA_1427100,PlasmoDB
23144823,PCHAS_0212800,PlasmoDB
23144823,PBANKA_0214400,PlasmoDB
23144823,PY17X_0215800,PlasmoDB
23159057,TGME49_280700,ToxoDB
23185236,PF3D7_1149000,PlasmoDB
23185322,PCHAS_1113400,PlasmoDB
23185322,PF3D7_0514100,PlasmoDB
23185322,PBANKA_1113800,PlasmoDB
23185322,PKNH_1019000,PlasmoDB
23185322,PRCDC_0513200,PlasmoDB
23190769,PCHAS_0509900,PlasmoDB
23190769,PCHAS_0602700,PlasmoDB
23190769,PCHAS_1220100,PlasmoDB
23190769,PCHAS_1304100,PlasmoDB
23190769,PCHAS_1306100,PlasmoDB
23190769,PF3D7_0708900,PlasmoDB
23190769,PF3D7_0927800,PlasmoDB
23190769,PF3D7_0928000,PlasmoDB
23190769,PF3D7_1025600,PlasmoDB
23190769,PF3D7_1201800,PlasmoDB
23190769,PF3D7_1439000,PlasmoDB
23190769,PF3D7_1475300,PlasmoDB
23190769,PBANKA_0509800,PlasmoDB
23190769,PBANKA_0600800,PlasmoDB
23190769,PBANKA_1219400,PlasmoDB
23190769,PBANKA_1300900,PlasmoDB
23190769,PBANKA_1302900,PlasmoDB
23190769,PKNH_0107500,PlasmoDB
23190769,PKNH_0610100,PlasmoDB
23190769,PKNH_1243300,PlasmoDB
