"gene_ID","pmid","has_summary","has_PD","host_db"
"PVP01_0102800",19427918,TRUE,NA,"PlasmoDB"
"PKNH_0100800",19427918,TRUE,NA,"PlasmoDB"
"PKNH_1472300",19428658,TRUE,NA,"PlasmoDB"
"PKNH_0700200",19428658,TRUE,NA,"PlasmoDB"
"PBANKA_1413100",19434237,TRUE,NA,"PlasmoDB"
"PF3D7_1444500",19435497,TRUE,NA,"PlasmoDB"
"PBANKA_1308400",19435497,TRUE,NA,"PlasmoDB"
"AN9399",19448638,TRUE,NA,"FungiDB"
"PBANKA_1240700",19491095,TRUE,NA,"PlasmoDB"
"PF3D7_0525900",19491095,TRUE,NA,"PlasmoDB"
"NCU07253",19555771,TRUE,NA,"FungiDB"
"PBANKA_1008200",19779564,TRUE,NA,"PlasmoDB"
"TGME49_239300",19823689,TRUE,NA,"ToxoDB"
"TGME49_297520",19879901,TRUE,NA,"ToxoDB"
"PBANKA_1300700",19932717,TRUE,NA,"PlasmoDB"
"PF3D7_1467300",20018214,TRUE,NA,"PlasmoDB"
"CNAG_07718",20345666,TRUE,NA,"FungiDB"
"CNG03630",20345666,TRUE,NA,"FungiDB"
"PBANKA_0813000",20361051,TRUE,NA,"PlasmoDB"
"PBANKA_0306000",20386715,TRUE,NA,"PlasmoDB"
"PBANKA_0306100",20386715,TRUE,NA,"PlasmoDB"
"TGME49_500160",20470832,TRUE,NA,"ToxoDB"
"PF3D7_1232300",20493843,TRUE,NA,"PlasmoDB"
"NCU01789",20522492,TRUE,NA,"FungiDB"
"NCU06842",20522492,TRUE,NA,"FungiDB"
"Afu3g05650",20545865,TRUE,NA,"FungiDB"
"PF3D7_0211700",20582613,TRUE,NA,"PlasmoDB"
"PF3D7_1349300",20582613,TRUE,NA,"PlasmoDB"
"PF3D7_0107600",20584882,TRUE,NA,"PlasmoDB"
"PBANKA_0205800",20584882,TRUE,NA,"PlasmoDB"
"TGME49_243545",20658557,TRUE,NA,"ToxoDB"
"TGME49_320480",20686666,TRUE,NA,"ToxoDB"
"CNAG_05662",20689743,TRUE,NA,"FungiDB"
"CNH02990",20689743,TRUE,NA,"FungiDB"
"TGME49_209985",20709297,TRUE,NA,"ToxoDB"
"PVP01_1436800",20942952,TRUE,NA,"PlasmoDB"
"PBANKA_0310300",20951971,TRUE,NA,"PlasmoDB"
"PBANKA_1351500",20951971,TRUE,NA,"PlasmoDB"
"Afu2g12330",21062375,TRUE,NA,"FungiDB"
"NCU03905",21081763,TRUE,NA,"FungiDB"
"PVP01_0929200",21084289,TRUE,NA,"PlasmoDB"
"MGG_10422",21383978,TRUE,NA,"FungiDB"
"PVP01_1255000",21401956,TRUE,NA,"PlasmoDB"
"PKNH_1230100",21401956,TRUE,NA,"PlasmoDB"
"CNAG_06346",21402362,TRUE,NA,"FungiDB"
"CNG04130",21453402,TRUE,NA,"FungiDB"
"CNAG_03153",21453402,TRUE,NA,"FungiDB"
"PBANKA_1300800",21453484,TRUE,NA,"PlasmoDB"
